Frame,Timestamp,Total Students,Focused Students,Focus %,Face 1 Emotion,Face 1 Focus,Face 2 Emotion,Face 2 Focus,Face 3 Emotion,Face 3 Focus
3460,13:23:58,1,1,100.0,fear,Focused,,,,
3470,13:23:58,1,1,100.0,fear,Focused,,,,
3480,13:23:58,1,1,100.0,fear,Focused,,,,
3490,13:23:58,2,0,0.0,happy,Distracted,happy,Distracted,,
3500,13:23:58,1,0,0.0,happy,Distracted,,,,
3510,13:23:59,1,0,0.0,sad,Distracted,,,,
3520,13:23:59,1,1,100.0,fear,Focused,,,,
3530,13:23:59,1,1,100.0,fear,Focused,,,,
3540,13:23:59,1,1,100.0,fear,Focused,,,,
3550,13:23:59,1,0,0.0,happy,Distracted,,,,
3560,13:23:59,1,1,100.0,fear,Focused,,,,
3570,13:23:59,1,1,100.0,fear,Focused,,,,
3580,13:23:59,1,1,100.0,fear,Focused,,,,
3590,13:24:00,1,1,100.0,fear,Focused,,,,
3600,13:24:00,1,1,100.0,fear,Focused,,,,
3610,13:24:00,1,0,0.0,fear,Distracted,,,,
3620,13:24:00,1,1,100.0,fear,Focused,,,,
3630,13:24:00,1,1,100.0,fear,Focused,,,,
3640,13:24:00,1,1,100.0,fear,Focused,,,,
3650,13:24:00,1,1,100.0,fear,Focused,,,,
3660,13:24:01,1,1,100.0,fear,Focused,,,,
3670,13:24:01,1,1,100.0,fear,Focused,,,,
3680,13:24:01,1,1,100.0,fear,Focused,,,,
3690,13:24:01,1,0,0.0,fear,Distracted,,,,
3700,13:24:01,1,1,100.0,fear,Focused,,,,
3710,13:24:01,1,1,100.0,surprise,Focused,,,,
3720,13:24:01,1,0,0.0,fear,Distracted,,,,
3730,13:24:01,1,1,100.0,surprise,Focused,,,,
3740,13:24:01,1,1,100.0,surprise,Focused,,,,
3750,13:24:01,1,1,100.0,surprise,Focused,,,,
3760,13:24:02,1,1,100.0,surprise,Focused,,,,
3770,13:24:02,1,1,100.0,surprise,Focused,,,,
3780,13:24:02,1,1,100.0,surprise,Focused,,,,
3790,13:24:02,1,1,100.0,surprise,Focused,,,,
3800,13:24:02,1,1,100.0,surprise,Focused,,,,
3810,13:24:02,1,0,0.0,fear,Distracted,,,,
3820,13:24:02,1,1,100.0,surprise,Focused,,,,
3830,13:24:02,1,1,100.0,surprise,Focused,,,,
3840,13:24:02,1,1,100.0,surprise,Focused,,,,
3850,13:24:02,1,1,100.0,surprise,Focused,,,,
3860,13:24:03,1,1,100.0,surprise,Focused,,,,
3870,13:24:03,1,0,0.0,neutral,Distracted,,,,
3880,13:24:03,1,1,100.0,surprise,Focused,,,,
3890,13:24:03,1,0,0.0,neutral,Distracted,,,,
3900,13:24:03,1,0,0.0,sad,Distracted,,,,
3910,13:24:03,1,1,100.0,surprise,Focused,,,,
3920,13:24:03,1,0,0.0,happy,Distracted,,,,
3930,13:24:03,1,0,0.0,happy,Distracted,,,,
3940,13:24:03,1,0,0.0,happy,Distracted,,,,
3950,13:24:04,2,0,0.0,happy,Distracted,neutral,Distracted,,
3960,13:24:04,2,0,0.0,happy,Distracted,neutral,Distracted,,
3970,13:24:04,1,0,0.0,sad,Distracted,,,,
3980,13:24:04,1,0,0.0,happy,Distracted,,,,
3990,13:24:04,1,0,0.0,happy,Distracted,,,,
